INFO 2024-10-30 14:13:14,777 autoreload Watching for file changes with StatReloader
DEBUG 2024-10-30 14:13:14,778 autoreload Waiting for apps ready_event.
DEBUG 2024-10-30 14:13:14,864 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2024-10-30 14:13:14,875 autoreload Watching dir D:\Dev\Project\api\venv\Lib\site-packages\rest_framework\templates with glob **/*.
DEBUG 2024-10-30 14:13:14,879 autoreload Watching dir D:\Dev\Project\api\locale with glob **/*.mo.
DEBUG 2024-10-30 14:13:14,879 autoreload Watching dir D:\Dev\Project\api\authentication\locale with glob **/*.mo.
DEBUG 2024-10-30 14:13:14,879 autoreload Watching dir D:\Dev\Project\api\customer\locale with glob **/*.mo.
DEBUG 2024-10-30 14:13:14,880 autoreload Watching dir D:\Dev\Project\api\service\locale with glob **/*.mo.
DEBUG 2024-10-30 14:13:14,880 autoreload Watching dir D:\Dev\Project\api\sales\locale with glob **/*.mo.
DEBUG 2024-10-30 14:13:14,881 autoreload Watching dir D:\Dev\Project\api\venv\Lib\site-packages\rest_framework\locale with glob **/*.mo.
DEBUG 2024-10-30 14:13:14,881 autoreload Watching dir D:\Dev\Project\api\venv\Lib\site-packages\rest_framework\authtoken\locale with glob **/*.mo.
DEBUG 2024-10-30 14:13:14,881 autoreload Watching dir D:\Dev\Project\api\venv\Lib\site-packages\corsheaders\locale with glob **/*.mo.
DEBUG 2024-10-30 14:13:14,987 utils (0.015) 
            SELECT
                c.relname,
                CASE
                    WHEN c.relispartition THEN 'p'
                    WHEN c.relkind IN ('m', 'v') THEN 'v'
                    ELSE 't'
                END,
                obj_description(c.oid, 'pg_class')
            FROM pg_catalog.pg_class c
            LEFT JOIN pg_catalog.pg_namespace n ON n.oid = c.relnamespace
            WHERE c.relkind IN ('f', 'm', 'p', 'r', 'v')
                AND n.nspname NOT IN ('pg_catalog', 'pg_toast')
                AND pg_catalog.pg_table_is_visible(c.oid)
        ; args=None; alias=default
DEBUG 2024-10-30 14:13:14,995 utils (0.000) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=(); alias=default
DEBUG 2024-10-30 14:13:15,090 autoreload File C:\Users\bhave\AppData\Local\Programs\Python\Python312\Lib\email\message.py first seen with mtime 1712699418.0
DEBUG 2024-10-30 14:13:15,091 autoreload File D:\Dev\Project\api\venv\Lib\site-packages\django\db\models\fields\files.py first seen with mtime 1725251066.085867
DEBUG 2024-10-30 14:13:15,092 autoreload File D:\Dev\Project\api\venv\Lib\site-packages\django\utils\deprecation.py first seen with mtime 1725251066.185158
DEBUG 2024-10-30 14:13:15,092 autoreload File C:\Users\bhave\AppData\Local\Programs\Python\Python312\Lib\lzma.py first seen with mtime 1712699418.0
DEBUG 2024-10-30 14:13:15,093 autoreload File D:\Dev\Project\api\venv\Lib\site-packages\psycopg2\_range.py first seen with mtime 1725251291.055859
DEBUG 2024-10-30 14:13:15,094 autoreload File D:\Dev\Project\api\venv\Lib\site-packages\django\utils\translation\trans_real.py first seen with mtime 1725251066.1981606
DEBUG 2024-10-30 14:13:15,094 autoreload File D:\Dev\Project\api\venv\Lib\site-packages\django\contrib\messages\storage\__init__.py first seen with mtime 1725251065.6154337
DEBUG 2024-10-30 14:13:15,095 autoreload File D:\Dev\Project\api\venv\Lib\site-packages\django\template\defaulttags.py first seen with mtime 1725251066.1611507
DEBUG 2024-10-30 14:13:15,096 autoreload File C:\Users\bhave\AppData\Local\Programs\Python\Python312\Lib\asyncio\tasks.py first seen with mtime 1712699418.0
DEBUG 2024-10-30 14:13:15,097 autoreload File D:\Dev\Project\api\venv\Lib\site-packages\django\core\files\utils.py first seen with mtime 1725251066.0148678
DEBUG 2024-10-30 14:13:15,097 autoreload File C:\Users\bhave\AppData\Local\Programs\Python\Python312\Lib\contextlib.py first seen with mtime 1712699418.0
DEBUG 2024-10-30 14:13:15,098 autoreload File D:\Dev\Project\api\venv\Lib\site-packages\asgiref\__init__.py first seen with mtime 1725251064.3480422
DEBUG 2024-10-30 14:13:15,098 autoreload File D:\Dev\Project\api\venv\Lib\site-packages\django\contrib\admin\options.py first seen with mtime 1725251064.6637366
DEBUG 2024-10-30 14:13:15,098 autoreload File D:\Dev\Project\api\venv\Lib\site-packages\django\core\validators.py first seen with mtime 1725251065.9998627
